Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2017-01-01,0,882,197,23.0,14.0,6.0,5.0,5.0,8,4
2017-01-02,0,880,167,24.0,14.0,6.0,5.0,5.0,6,3
2017-01-03,0,880,174,23.0,15.0,6.0,5.0,6.0,10,6
2017-01-04,0,881,182,23.0,16.0,7.0,6.0,6.0,10,6
2017-01-05,0,882,155,22.0,15.0,6.0,6.0,6.0,8,4
2017-01-06,0,882,118,22.0,16.0,7.0,6.0,7.0,8,5
2017-01-07,0,882,164,23.0,16.0,7.0,6.0,6.0,8,5
2017-01-08,0,881,192,22.0,14.0,6.0,5.0,5.0,8,4
2017-01-09,0,880,158,23.0,14.0,6.0,5.0,5.0,8,5
2017-01-10,0,879,127,22.0,16.0,7.0,6.0,7.0,6,2
2017-01-11,0,879,140,22.0,16.0,7.0,6.0,7.0,8,4
2017-01-12,0,880,163,22.0,16.0,7.0,6.0,7.0,8,4
2017-01-13,0,880,71,19.0,17.0,8.0,8.0,8.0,7,3
2017-01-14,0,878,110,20.0,17.0,8.0,8.0,8.0,6,3
2017-01-15,1,879,86,19.0,16.0,8.0,8.0,8.0,5,2
2017-01-16,0,880,84,19.0,17.0,8.0,8.0,8.0,6,3
2017-01-17,0,880,143,20.0,15.0,7.0,7.0,7.0,10,6
2017-01-18,0,880,218,21.0,14.0,7.0,6.0,6.0,9,5
2017-01-19,0,881,169,22.0,14.0,6.0,6.0,6.0,9,5
2017-01-20,0,883,169,21.0,14.0,6.0,5.0,6.0,9,5
2017-01-21,0,882,159,21.0,14.0,6.0,6.0,6.0,9,5
2017-01-22,0,881,184,21.0,14.0,6.0,5.0,6.0,8,5
2017-01-23,0,881,168,21.0,14.0,6.0,6.0,6.0,9,5
2017-01-24,0,882,114,21.0,15.0,7.0,6.0,7.0,9,5
2017-01-25,0,882,165,22.0,15.0,7.0,6.0,6.0,6,3
2017-01-26,0,882,175,22.0,16.0,7.0,6.0,6.0,8,5
2017-01-27,0,883,194,22.0,14.0,6.0,5.0,5.0,9,5
2017-01-28,0,884,193,21.0,13.0,6.0,5.0,6.0,10,6
2017-01-29,0,885,187,21.0,14.0,6.0,5.0,6.0,9,5
2017-01-30,0,884,150,21.0,15.0,7.0,6.0,7.0,10,5
2017-01-31,0,883,186,21.0,14.0,7.0,6.0,6.0,9,5
2017-02-01,0,881,115,20.0,14.0,7.0,6.0,7.0,9,5
2017-02-02,0,880,97,20.0,16.0,8.0,7.0,7.0,7,3
2017-02-03,0,881,84,19.0,17.0,9.0,8.0,8.0,5,2
2017-02-04,0,881,109,20.0,16.0,8.0,7.0,8.0,6,3
2017-02-05,2,880,75,19.0,17.0,9.0,8.0,8.0,5,2
2017-02-06,2,879,111,20.0,17.0,8.0,8.0,8.0,6,3
2017-02-07,0,878,128,21.0,17.0,8.0,7.0,8.0,8,3
2017-02-08,0,879,115,21.0,18.0,8.0,7.0,8.0,8,4
2017-02-09,0,880,190,21.0,16.0,7.0,7.0,7.0,12,6
2017-02-10,0,881,120,20.0,16.0,8.0,7.0,8.0,11,6
2017-02-11,0,880,112,20.0,16.0,7.0,7.0,7.0,9,6
2017-02-12,0,880,132,20.0,14.0,7.0,6.0,7.0,11,6
2017-02-13,0,881,131,19.0,15.0,7.0,7.0,7.0,11,6
2017-02-14,0,884,138,19.0,14.0,7.0,6.0,7.0,11,6
2017-02-15,0,886,149,20.0,15.0,7.0,7.0,7.0,11,6
2017-02-16,0,885,135,20.0,15.0,7.0,6.0,7.0,7,4
2017-02-17,0,883,168,21.0,14.0,6.0,6.0,6.0,7,4
2017-02-18,0,883,179,22.0,15.0,6.0,5.0,6.0,7,3
2017-02-19,0,884,195,22.0,15.0,6.0,6.0,6.0,8,5
2017-02-20,0,884,198,22.0,15.0,6.0,6.0,6.0,8,4
2017-02-21,0,884,148,20.0,15.0,7.0,6.0,7.0,10,5
2017-02-22,0,883,114,20.0,15.0,7.0,7.0,7.0,10,5
2017-02-23,0,883,162,21.0,15.0,7.0,6.0,6.0,9,5
2017-02-24,0,881,184,22.0,15.0,7.0,6.0,6.0,8,5
2017-02-25,0,880,100,20.0,15.0,7.0,6.0,7.0,7,4
2017-02-26,0,881,40,18.0,16.0,8.0,8.0,8.0,6,3
2017-02-27,0,881,87,19.0,15.0,8.0,7.0,8.0,6,3
2017-02-28,0,880,103,19.0,16.0,8.0,8.0,8.0,6,3
2017-03-01,0,880,103,19.0,16.0,8.0,7.0,8.0,8,3
2017-03-02,0,881,142,22.0,15.0,7.0,6.0,6.0,5,2
2017-03-03,0,883,180,22.0,16.0,7.0,6.0,7.0,7,4
2017-03-04,0,881,175,22.0,14.0,6.0,6.0,6.0,6,3
2017-03-05,0,879,130,22.0,15.0,6.0,6.0,6.0,6,3
2017-03-06,0,879,170,24.0,15.0,6.0,5.0,5.0,5,2
2017-03-07,0,881,140,22.0,17.0,7.0,6.0,7.0,10,6
2017-03-08,1,881,166,21.0,17.0,8.0,7.0,7.0,12,7
2017-03-09,0,881,170,20.0,16.0,8.0,7.0,8.0,10,6
2017-03-10,0,882,140,21.0,17.0,8.0,7.0,7.0,8,5
2017-03-11,0,882,185,21.0,15.0,7.0,6.0,6.0,8,5
2017-03-12,0,882,182,21.0,14.0,6.0,6.0,6.0,8,5
2017-03-13,0,881,212,22.0,13.0,6.0,5.0,5.0,7,4
2017-03-14,0,881,181,21.0,15.0,7.0,6.0,6.0,9,5
2017-03-15,0,882,211,21.0,14.0,6.0,6.0,6.0,9,5
2017-03-16,0,882,211,21.0,14.0,7.0,6.0,6.0,9,5
2017-03-17,0,881,174,21.0,15.0,7.0,6.0,6.0,8,4
2017-03-18,0,881,171,22.0,16.0,7.0,6.0,6.0,9,5
2017-03-19,2,882,77,19.0,16.0,8.0,8.0,8.0,8,5
